,grid_size,epsilon,n_episodes,total_reward,simulations,performance_score,run_time
0,4.0,0.4,500.0,0.0,200.0,0.0,0.23522400856018066
1,4.0,0.4,1000.0,0.0,200.0,0.0,0.40812206268310547
2,4.0,0.4,2000.0,153.0,200.0,0.765,1.5966577529907227
3,4.0,0.4,3000.0,159.0,200.0,0.795,2.0822250843048096
4,4.0,0.4,4000.0,160.0,200.0,0.8,2.9804739952087402
5,4.0,0.4,5000.0,167.0,200.0,0.835,3.9054837226867676
6,4.0,0.7,500.0,0.0,200.0,0.0,0.2048029899597168
7,4.0,0.7,1000.0,8.0,200.0,0.04,0.21511077880859375
8,4.0,0.7,2000.0,146.0,200.0,0.73,1.3341727256774902
9,4.0,0.7,3000.0,146.0,200.0,0.73,2.000264883041382
10,4.0,0.7,4000.0,168.0,200.0,0.84,2.9974164962768555
11,4.0,0.7,5000.0,160.0,200.0,0.8,3.6501171588897705
12,4.0,0.9,500.0,0.0,200.0,0.0,0.21510910987854004
13,4.0,0.9,1000.0,18.0,200.0,0.09,0.35166096687316895
14,4.0,0.9,2000.0,127.0,200.0,0.635,1.2307910919189453
15,4.0,0.9,3000.0,164.0,200.0,0.82,1.9117398262023926
16,4.0,0.9,4000.0,167.0,200.0,0.835,2.7227938175201416
17,4.0,0.9,5000.0,165.0,200.0,0.825,3.387942314147949
